webtitle,sectionname,publisheddate,webUrl,apiUrl
‘Only the rich can bear this heat’: how Dhaka is battling extreme weather,global-development,2023-10-03T05:00:32Z,https://www.theguardian.com/global-development/2023/oct/03/only-rich-can-bear-heat-dhaka-bangladesh-battling-extreme-weather-climate,https://content.guardianapis.com/global-development/2023/oct/03/only-rich-can-bear-heat-dhaka-bangladesh-battling-extreme-weather-climate
Snack attack: how the west exported unhealthy eating to Africa and Asia,global-development,2023-09-14T05:30:20Z,https://www.theguardian.com/global-development/2023/sep/14/snack-attack-how-the-west-exported-unhealthy-eating-to-africa-and-asia,https://content.guardianapis.com/global-development/2023/sep/14/snack-attack-how-the-west-exported-unhealthy-eating-to-africa-and-asia
‘I’ll never know where I’m from’: plight of the adopted children of Bangladesh’s Birangona women,global-development,2023-08-11T05:00:29Z,https://www.theguardian.com/global-development/2023/aug/11/ill-never-know-where-im-from-plight-of-the-adopted-children-of-bangladeshs-birangona-women,https://content.guardianapis.com/global-development/2023/aug/11/ill-never-know-where-im-from-plight-of-the-adopted-children-of-bangladeshs-birangona-women
‘My mother spent her life trying to find me’: the children who say they were wrongly taken for adoption,society,2023-08-11T05:00:29Z,https://www.theguardian.com/society/2023/aug/11/the-children-who-say-they-were-wrongly-taken-for-adoption,https://content.guardianapis.com/society/2023/aug/11/the-children-who-say-they-were-wrongly-taken-for-adoption
Zafrullah Chowdhury obituary,society,2023-07-10T17:20:20Z,https://www.theguardian.com/society/2023/jul/10/zafrullah-chowdhury-obituary,https://content.guardianapis.com/society/2023/jul/10/zafrullah-chowdhury-obituary
Bangladeshi labour leader beaten to death while trying to resolve dispute,global-development,2023-06-28T13:44:42Z,https://www.theguardian.com/global-development/2023/jun/28/shahidul-islam-bangladeshi-labour-leader-shahidul-islam-beaten-to-death-wages-dispute,https://content.guardianapis.com/global-development/2023/jun/28/shahidul-islam-bangladeshi-labour-leader-shahidul-islam-beaten-to-death-wages-dispute
"Even prisons serve regular meals – yet in our camp, Rohingyas go hungry | Yasmin Ara",global-development,2023-06-06T05:30:01Z,https://www.theguardian.com/global-development/2023/jun/06/even-prisons-serve-regular-meals-yet-in-our-camp-rohingyas-go-hungry,https://content.guardianapis.com/global-development/2023/jun/06/even-prisons-serve-regular-meals-yet-in-our-camp-rohingyas-go-hungry
"Stateless Rohingya could soon be the ‘new Palestinians’, top UN official warns",global-development,2023-05-30T05:30:21Z,https://www.theguardian.com/global-development/2023/may/30/stateless-rohingya-could-soon-be-the-new-palestinians-top-un-official-warns,https://content.guardianapis.com/global-development/2023/may/30/stateless-rohingya-could-soon-be-the-new-palestinians-top-un-official-warns
UN not given access to Rohingya refugee camps after Cyclone Mocha,global-development,2023-05-19T11:29:59Z,https://www.theguardian.com/global-development/2023/may/19/un-denied-access-to-rohingya-refugee-camps-after-cyclone-mocha-myanmar,https://content.guardianapis.com/global-development/2023/may/19/un-denied-access-to-rohingya-refugee-camps-after-cyclone-mocha-myanmar
Cyclone Mocha threatens world’s largest refugee camp on Myanmar-Bangladesh border,world,2023-05-13T02:35:54Z,https://www.theguardian.com/world/2023/may/13/cyclone-mocha-threatens-worlds-largest-refugee-camp-on-myanmar-bangladesh-border,https://content.guardianapis.com/world/2023/may/13/cyclone-mocha-threatens-worlds-largest-refugee-camp-on-myanmar-bangladesh-border
‘We have a right to live in dignity’: Biharis in Bangladesh fight for equality – and jobs,global-development,2023-05-09T13:00:11Z,https://www.theguardian.com/global-development/2023/may/09/we-have-a-right-to-live-in-dignity-biharis-in-bangladesh-fight-for-equality-and-jobs,https://content.guardianapis.com/global-development/2023/may/09/we-have-a-right-to-live-in-dignity-biharis-in-bangladesh-fight-for-equality-and-jobs
‘When he woke up he gave me a free watermelon’: Saiful Islam’s best phone picture,lifeandstyle,2023-05-06T09:00:05Z,https://www.theguardian.com/lifeandstyle/2023/may/06/saiful-islam-best-phone-shot-bangladesh-watermelon,https://content.guardianapis.com/lifeandstyle/2023/may/06/saiful-islam-best-phone-shot-bangladesh-watermelon
‘Peace of mind at last’: the Bangladeshi villagers digging their way out of the floods,global-development,2023-05-04T14:00:12Z,https://www.theguardian.com/global-development/2023/may/04/bangladeshi-villagers-digging-their-way-out-of-the-floods-plinth-settlements,https://content.guardianapis.com/global-development/2023/may/04/bangladeshi-villagers-digging-their-way-out-of-the-floods-plinth-settlements
Bangladesh media in fear after PM’s ‘people’s enemy’ attack,global-development,2023-05-01T12:52:37Z,https://www.theguardian.com/global-development/2023/may/01/bangladesh-journalists-living-in-fear-after-pms-enemy-of-the-people-remark,https://content.guardianapis.com/global-development/2023/may/01/bangladesh-journalists-living-in-fear-after-pms-enemy-of-the-people-remark
‘A nightmare I couldn’t wake up from’: half of Rana Plaza survivors unable to work 10 years after disaster,global-development,2023-04-28T07:00:14Z,https://www.theguardian.com/global-development/2023/apr/28/a-nightmare-i-couldnt-wake-up-from-half-of-rana-plaza-survivors-unable-to-work-10-years-after-disaster,https://content.guardianapis.com/global-development/2023/apr/28/a-nightmare-i-couldnt-wake-up-from-half-of-rana-plaza-survivors-unable-to-work-10-years-after-disaster
Best&Less accused of putting profit before Bangladesh workers by failing to sign safety accord,business,2023-04-24T15:00:12Z,https://www.theguardian.com/world/2023/apr/25/bestless-accused-of-putting-profit-before-bangladesh-workers-by-failing-to-sign-safety-accord,https://content.guardianapis.com/world/2023/apr/25/bestless-accused-of-putting-profit-before-bangladesh-workers-by-failing-to-sign-safety-accord
Abuses ‘still rife’: 10 years on from Bangladesh’s Rana Plaza disaster,world,2023-04-24T07:04:58Z,https://www.theguardian.com/world/2023/apr/24/10-years-on-bangladesh-rana-plaza-disaster-safety-garment-workers-rights-pay,https://content.guardianapis.com/world/2023/apr/24/10-years-on-bangladesh-rana-plaza-disaster-safety-garment-workers-rights-pay
‘Time we put an end to it’: the Bangladeshi women fighting their silent killer ,global-development,2023-04-13T06:00:36Z,https://www.theguardian.com/global-development/2023/apr/13/time-we-put-end-cervical-cancer-bangladesh-women-acc,https://content.guardianapis.com/global-development/2023/apr/13/time-we-put-end-cervical-cancer-bangladesh-women-acc
‘It’s spreading faster than we’ve ever seen’: the mission to halt leprosy in Bangladesh’s tea gardens,global-development,2023-04-07T05:00:44Z,https://www.theguardian.com/global-development/2023/apr/07/spreading-faster-than-ever-why-bangladeshs-tea-pickers-have-the-worlds-highest-rate-of-leprosy,https://content.guardianapis.com/global-development/2023/apr/07/spreading-faster-than-ever-why-bangladeshs-tea-pickers-have-the-worlds-highest-rate-of-leprosy
"‘We lay like corpses. Then the raping began’: 52 years on, Bangladesh’s rape camp survivors speak out",global-development,2023-04-03T07:00:43Z,https://www.theguardian.com/global-development/2023/apr/03/52-years-bangladesh-birangona-women-mass-rape-surviviors,https://content.guardianapis.com/global-development/2023/apr/03/52-years-bangladesh-birangona-women-mass-rape-surviviors
‘They are men … they do nothing’: inside the home lives of women around the world,global-development,2023-04-03T06:00:42Z,https://www.theguardian.com/global-development/2023/apr/03/they-are-men-they-do-nothing-inside-the-home-lives-of-women-around-the-world,https://content.guardianapis.com/global-development/2023/apr/03/they-are-men-they-do-nothing-inside-the-home-lives-of-women-around-the-world
The Guardian view on the forgotten Rohingya refugees: lives without futures | Editorial,commentisfree,2023-03-19T18:30:00Z,https://www.theguardian.com/commentisfree/2023/mar/19/the-guardian-view-on-the-forgotten-rohingya-refugees-lives-without-futures,https://content.guardianapis.com/commentisfree/2023/mar/19/the-guardian-view-on-the-forgotten-rohingya-refugees-lives-without-futures
Huge fire at Rohingya refugee camp leaves thousands without shelter,world,2023-03-06T15:21:50Z,https://www.theguardian.com/world/2023/mar/06/rohingya-refugee-camp-fire-bangladesh-coxs-bazar,https://content.guardianapis.com/world/2023/mar/06/rohingya-refugee-camp-fire-bangladesh-coxs-bazar
UN warns of ‘unconscionable’ cuts to Rohingya food rations as donations fall,global-development,2023-02-17T15:52:48Z,https://www.theguardian.com/global-development/2023/feb/17/un-warns-of-unconscionable-cuts-to-rohingya-food-rations-as-donations-fall,https://content.guardianapis.com/global-development/2023/feb/17/un-warns-of-unconscionable-cuts-to-rohingya-food-rations-as-donations-fall
‘I know how it feels to lose everything’: Rohingya refugees send aid to Turkey,global-development,2023-02-16T13:41:13Z,https://www.theguardian.com/global-development/2023/feb/16/i-know-how-it-feels-to-lose-everything-rohingya-refugees-send-aid-to-turkey,https://content.guardianapis.com/global-development/2023/feb/16/i-know-how-it-feels-to-lose-everything-rohingya-refugees-send-aid-to-turkey
‘They beat me with sticks’: Bangladesh opposition reels under crackdown as thousands held,world,2023-01-22T12:00:36Z,https://www.theguardian.com/world/2023/jan/22/bangladesh-opposition-crackdown-thousands-arrested,https://content.guardianapis.com/world/2023/jan/22/bangladesh-opposition-crackdown-thousands-arrested
 Sea ‘a graveyard’ as number of Rohingya fleeing Bangladesh by boat soars,global-development,2023-01-18T14:43:13Z,https://www.theguardian.com/global-development/2023/jan/18/rohingya-fleeing-bangladesh-boat-soars-human-smugglers,https://content.guardianapis.com/global-development/2023/jan/18/rohingya-fleeing-bangladesh-boat-soars-human-smugglers
The two sides of John Stonehouse were revealed in a Bangladesh mission | Letters,politics,2023-01-11T18:01:35Z,https://www.theguardian.com/politics/2023/jan/11/the-two-sides-of-john-stonehouse-were-revealed-in-a-bangladesh-mission,https://content.guardianapis.com/politics/2023/jan/11/the-two-sides-of-john-stonehouse-were-revealed-in-a-bangladesh-mission
Rohingya refugees bet lives on boat crossings despite rising death toll,world,2023-01-08T09:54:34Z,https://www.theguardian.com/world/2023/jan/08/rohingya-refugees-bet-lives-boat-crossings-rising-death-toll-myanmar-bangladesh,https://content.guardianapis.com/world/2023/jan/08/rohingya-refugees-bet-lives-boat-crossings-rising-death-toll-myanmar-bangladesh
About 180 Rohingya refugees feared dead after boat goes missing,world,2022-12-27T05:44:35Z,https://www.theguardian.com/world/2022/dec/26/very-weak-rohingya-refugees-land-on-indonesia-beach-after-weeks-at-sea,https://content.guardianapis.com/world/2022/dec/26/very-weak-rohingya-refugees-land-on-indonesia-beach-after-weeks-at-sea
The Guardian view on Tesco and supply chains: landmark case shines a light | Editorial,commentisfree,2022-12-21T19:25:37Z,https://www.theguardian.com/commentisfree/2022/dec/21/the-guardian-view-on-tescos-supply-chains-landmark-case-shines-a-light,https://content.guardianapis.com/commentisfree/2022/dec/21/the-guardian-view-on-tescos-supply-chains-landmark-case-shines-a-light
Activists appeal for rescue of Rohingya refugees stranded at sea in leaking boat,world,2022-12-10T13:38:20Z,https://www.theguardian.com/world/2022/dec/10/activists-appeal-rescue-rohingya-refugees-boat-bangladesh-malaysia,https://content.guardianapis.com/world/2022/dec/10/activists-appeal-rescue-rohingya-refugees-boat-bangladesh-malaysia
